common_friends,total_friends,pref_attach,jacard_coef,transitive_friends,opposite_friends,adar,dice_coef_directed,dice_coef_undirected,friends_closeness,jacard_outneighbours,jacard_inneighbours,degree_source,degree_source_in,degree_source_out,degree_target,degree_target_in,degree_target_out,class
17,97,2024,0.17525773195876287,15,0,2.626324051698074,0.0,0.40963855421686746,0.22873554892516915,69179.3011313324,23343.349362889974,110,27,83,22,22,0,1
2,273,5566,0.007326007326007326,2,0,0.2521697366308673,0.0,0.18181818181818182,0.28047358975924797,3711.455003607844,11318.103070952387,24,2,22,253,253,0,1
0,143,4300,0.0,0,0,0.0,0.0,0.0,0.1654281543419969,17807.41638322766,9004.249045103783,109,14,95,43,43,0,1
0,33,32,0.0,0,0,0.0,0.0,0.0,0.08741268903666201,0.11426482014717308,9.727626459143968,35,14,21,1,1,0,0
0,265,17136,0.0,0,0,0.0,0.0,0.0,0.13949324564965554,31.784373237446882,152.65451516126024,122,30,92,189,38,151,0
18,1503,64988,0.011976047904191617,9,0,1.844848089219449,0.0,0.0314410480349345,0.3657609194876487,323523.69780518144,8571.260688611204,1783,638,1145,44,44,0,0
41,8971,4906260,0.004570282019841712,17,0,5.60720275542094,0.008850645359557468,0.010079901659496005,0.4550876215779642,31237.400562284638,160542.29995104243,661,87,574,9559,1998,7561,1
0,287,6072,0.0,0,0,0.0,0.0,0.0,0.1886494071919874,11773.315651619656,618.9477739967258,304,100,204,23,23,0,0
1,154,1176,0.006493506493506494,1,0,0.17095986139949038,0.0,0.028985507246376812,0.25184763012068145,1762.5133979345528,885.6262165262914,167,98,69,8,8,0,1
0,101,1620,0.0,0,0,0.0,0.0,0.0,0.15383735056137532,1980.1724960034305,24.689566505762322,95,19,76,20,20,0,0
0,726,28728,0.0,0,0,0.0,0.0,0.0,0.1646887503706199,35.58363901238251,0.5086728724757108,43,4,39,694,13,681,0
1,250,9898,0.004,0,0,0.13729759880806058,0.008,0.008,0.13803652294655616,880.573301004803,441.69037146528615,204,3,201,68,19,49,0
12,1205,190920,0.00995850622406639,9,0,1.6211516530602401,0.020833333333333332,0.027777777777777776,0.35471174229623775,33040.042016918356,33341.04705557918,191,7,184,1211,531,680,1
1,833,2493,0.0012004801920768306,0,1,0.1780381751198586,0.0,0.0025940337224383916,0.0,45.35147392290249,60753.67054200871,3,2,1,1001,231,770,1
55,2849,1039148,0.019305019305019305,5,1,14.550221438758292,0.03496503496503497,0.038461538461538464,0.3977361667248954,14856.106572746068,12524.310143784085,439,33,406,2689,235,2454,1
0,1375,58564,0.0,0,0,0.0,0.0,0.0,0.24087363367002237,51766.08224911776,4333.446720800812,1436,108,1328,44,44,0,0
64,2564,1674155,0.0249609984399376,56,0,6.4786122295602695,0.0,0.08387942332896461,0.39246619090202806,488744.73619803996,123355.81522031927,1633,107,1526,1085,1085,0,1
7,426,45466,0.01643192488262911,1,0,0.8433499869966633,0.034653465346534656,0.034653465346534656,0.30272196731346857,7645.213137934311,249.57768352143998,277,38,239,183,18,165,0
14,21249,467302,0.0006588545343310273,9,1,2.685290613667961,0.0009470145366731379,0.001325820351342393,0.4982032557210866,4280.190319649355,228467.57095661198,26,11,15,22923,1819,21104,1
0,109,1078,0.0,0,0,0.0,0.0,0.0,0.11728369705572858,3.281916639317361,54.6448087431694,103,8,95,14,8,6,0
0,103,1462,0.0,0,0,0.0,0.0,0.0,0.15449096627432118,477.9206516112788,954.066079962839,103,22,81,17,17,0,0
3,2453,1467583,0.0012229922543823889,0,0,0.628699328775849,0.0016474464579901153,0.002471169686985173,0.260168901475283,3662.5251092107496,2157.388238438129,1070,60,1010,1475,57,1418,0
257,4685,5855841,0.05485592315901814,82,1,41.16139110715243,0.10425963488843813,0.10425963488843813,0.4226060597336262,487868.73452371306,83025.93032843315,3249,282,2967,2180,217,1963,1
0,302,12801,0.0,0,0,0.0,0.0,0.0,0.190347567245829,129.052395860341,0.09177908511985693,63,17,46,292,43,249,0
2,60,285,0.03333333333333333,2,0,0.15179842200654603,0.0,0.08,0.20471722811110502,135.63017168663157,34.091743215534144,64,14,50,5,5,0,0
0,179,528,0.0,0,0,0.0,0.0,0.0,0.17291286019469182,76670.93320820534,2.5003653421036405,189,40,149,3,3,0,1
0,1461,173030,0.0,0,0,0.0,0.0,0.0,0.24289588039169,672.3784551423141,713.1028387062305,136,9,127,1402,152,1250,0
0,191,378,0.0,0,0,0.0,0.0,0.0,0.17507578093488765,0.16453051218348444,37.860861334595356,215,80,135,2,2,0,0
0,2441,43614,0.0,0,0,0.0,0.0,0.0,0.26000543567976536,5747.07903504722,864.3296480069847,2611,202,2409,18,18,0,0
0,372,5696,0.0,0,0,0.0,0.0,0.0,0.19729646180910487,477.16869856950774,5.398551474358154,378,24,354,21,5,16,0
0,198,1701,0.0,0,0,0.0,0.0,0.0,0.17627556768981784,1918.8535875904402,287.0872183057263,195,18,177,9,9,0,0
18,696,83349,0.02586206896551724,5,0,2.531314662812527,0.04180064308681672,0.05787781350482315,0.327267483016721,13026.38483831522,14452.306846805808,167,98,69,691,138,553,0
6,2991,669222,0.0020060180541624875,1,0,1.2165679947820938,0.0034328870580157913,0.004119464469618949,0.4001681529314974,33797.485100059486,3499.414659429486,2794,47,2747,248,82,166,0
2,416,20880,0.004807692307692308,0,0,0.16469639879469564,0.0,0.011730205278592375,0.20102284200870876,35151.625588262534,1171.1038592769432,395,54,341,58,58,0,0
3,186,4898,0.016129032258064516,0,1,1.4180421094847317,0.03225806451612903,0.03225806451612903,0.17419155579044004,31515.503131416066,385.4185091526437,166,11,155,38,7,31,1
69,2017,789733,0.034209221616261776,26,1,9.0697996605943,0.05338606030647553,0.06821552150271873,0.3804683268977106,89326.07373599146,45664.16095940764,613,154,459,1802,238,1564,1
2,3899,66028,0.0005129520389843549,2,0,0.16420865722105454,0.0,0.0010351966873706005,0.4134237694491299,164869.90675478015,1448.7755156661672,4063,199,3864,17,17,0,1
91,2613,1127335,0.03482587064676617,2,0,13.795318783149842,0.0,1.0520231213872833,0.39341271327603067,6971.619142868919,134374.6957963515,537,464,73,2197,2097,100,1
1,238,11200,0.004201680672268907,0,0,0.13165885164109023,0.0,0.011560693641618497,0.18240902245571583,28892.41047907559,17296.31495027892,179,6,173,64,64,0,0
0,6955,840336,0.0,0,0,0.0,0.0,0.0,0.29490720347858473,1857.1347554798735,2760.515722008134,132,11,121,7249,505,6744,0
0,80,639,0.0,0,0,0.0,0.0,0.0,0.10955066586684703,1.6719612104999162,35.97122302158273,86,31,55,9,9,0,0
0,147,146,0.0,0,0,0.0,0.0,0.0,0.0,0.0,178.83091222488545,1,1,0,187,66,121,1
1,88,1848,0.011363636363636364,0,0,0.07383035913670255,0.0,0.044444444444444446,0.1492445604826069,1532.6172303142232,639.9737168582895,56,11,45,33,33,0,0
36,2439,383294,0.014760147601476014,32,0,4.1530249939089225,0.0,0.031760035288928096,0.389967169910796,588651.1463455976,29926.728022791405,2434,167,2267,166,166,0,1
0,65700,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,66409,794,65615,0,0,0,1
0,98,285,0.0,0,0,0.0,0.0,0.0,0.1528322492890191,69.95433458956396,2.2637238256932655,97,3,94,3,3,0,0
3,725,84096,0.004137931034482759,2,0,0.35229626088387184,0.0,0.01639344262295082,0.3293085827427337,17754.447531325382,19457.491853350202,632,266,366,144,144,0,0
23,1860,813792,0.012365591397849462,20,0,3.1295529739088073,0.0,0.0647887323943662,0.37641658833536235,74782.064444368,146948.31516327287,720,79,641,1213,1144,69,1
7,1189,353248,0.005887300252312868,5,0,0.9355003826855035,0.0,0.027079303675048357,0.35404339483453906,23113.927820063433,28676.5324215964,563,46,517,664,664,0,0
0,377,2952,0.0,0,0,0.0,0.0,0.0,0.19774150624826703,34926.13553627501,2703.501633098202,372,5,367,8,8,0,1
104,2562,1217385,0.04059328649492584,62,1,13.974205989564211,0.07534246575342465,0.0791476407914764,0.39242717412283395,104291.19300824351,78603.89726299455,724,158,566,2424,362,2062,1
1,80,710,0.0125,0,0,0.11442673778396795,0.0,0.25,0.10955066586684703,278.67359584796884,227.4006672415831,11,3,8,71,71,0,0
1,118,3450,0.00847457627118644,1,0,0.10428858826141657,0.0,0.043478260869565216,0.23853423122328327,1694.8733333916475,1614.9041636936847,58,12,46,69,69,0,0
13,307,11200,0.04234527687296417,12,0,1.568337643762059,0.0,0.09961685823754789,0.28634238737935985,52048.214323860215,7935.201248906495,364,103,261,40,40,0,1
0,814,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,881,69,812,0,0,0,1
0,109,520,0.0,0,0,0.0,0.0,0.0,0.15637826274097144,2239.8500535791036,189.83576346616442,117,16,101,5,5,0,0
9,644,61020,0.013975155279503106,8,0,0.8939541203487377,0.0,0.03339517625231911,0.3233849363052177,269777.5305062605,5668.980248377014,587,48,539,113,113,0,1
24,811,136086,0.029593094944512947,7,0,5.438177128581673,0.05670103092783505,0.061855670103092786,0.33491340270577064,26651.862960259652,32257.466936721787,224,8,216,698,138,560,1
0,200,591,0.0,0,0,0.0,0.0,0.0,0.1324579341637009,3.397893306150187,23.696682464454977,212,16,196,3,3,0,0
24,275,8544,0.08727272727272728,0,0,3.9144431817971816,0.0,24.0,0.18722570325555238,38.64605543710021,11131.689058854796,267,266,1,32,31,1,1
0,66,513,0.0,0,0,0.0,0.0,0.0,0.1396551580675475,1286.8706358652298,70.15532758364009,62,5,57,9,9,0,0
0,1810,9025,0.0,0,0,0.0,0.0,0.0,0.25003607080866236,12995.143686432466,606.0705644959594,2060,294,1766,5,5,0,0
2,4355,8710,0.0004592422502870264,2,0,0.22086142859180907,0.0,0.0009280742459396752,0.4189539944643301,755422.5142164238,367.42447629914227,4732,422,4310,2,2,0,1
2,872,10344,0.0022935779816513763,2,0,0.2074264557591402,0.0,0.004645760743321719,0.33853947119544897,120233.76410494692,1632.0479005722077,914,53,861,12,12,0,1
0,3723,295002,0.0,0,0,0.0,0.0,0.0,0.27407616912909055,12914.55103039062,1276.01918582178,3743,151,3592,87,40,47,0
0,162,320,0.0,0,0,0.0,0.0,0.0,0.1271899083808096,3.9840637450199203,9.624639076034649,169,9,160,2,2,0,0
5,375,14491,0.013333333333333334,2,0,0.5091269065565597,0.0,0.03076923076923077,0.2963463012985205,22378.39481307429,4782.968854734356,360,35,325,43,43,0,0
0,146,4173,0.0,0,1,0.0,0.0,0.0,0.1661202207236112,3321.7153905994023,9270.49541550516,45,7,38,127,102,25,1
26,1733,724458,0.015002885170225043,26,0,2.452728955720437,0.0,0.047229791099000905,0.37288046448578027,822224.954856658,74533.87097501529,1138,37,1101,658,658,0,1
2,1871,101752,0.0010689470871191875,0,0,0.25338729904037705,0.0,0.01078167115902965,0.2511409442091363,2357.35047000162,15145.027925527133,58,16,42,1977,1648,329,0
0,381,758,0.0,0,0,0.0,0.0,0.0,0.19809331250422338,2.3145968270900137,93.52057913181388,416,48,368,2,2,0,0
0,35,304,0.0,0,0,0.0,0.0,0.0,0.11851160204964711,311.39759301968394,41.44856478089675,18,3,15,19,19,0,1
0,55,744,0.0,0,0,0.0,0.0,0.0,0.13357777284108238,10928.165653001684,1296.3925057325298,25,2,23,31,31,0,1
1,153,4905,0.006535947712418301,1,0,0.10428858826141657,0.0,0.018867924528301886,0.2515218960696218,13454.265780658738,7937.1293421126675,130,24,106,45,45,0,1
0,472,54855,0.0,0,0,0.0,0.0,0.0,0.20523263285285184,1824.9946370506814,3550.826421230116,330,105,225,207,207,0,0
285,2598,1773770,0.10969976905311778,19,0,42.442891068949294,0.06369426751592357,1.8152866242038217,0.39312485986152723,66844.82823491527,169565.57469846873,2042,1881,161,950,797,153,1
6,222,5771,0.02702702702702703,6,0,0.8023584243307399,0.0,0.07692307692307693,0.270133869093614,29112.70570238898,3576.9157433357436,225,69,156,29,29,0,1
1,181,181,0.0055248618784530384,1,0,0.20121466161002635,0.0,0.016666666666666666,0.2599248515632913,47333.21420519662,1168.384879725086,216,96,120,1,1,0,1
1,433,12864,0.0023094688221709007,0,0,0.19878972089265917,0.006756756756756757,0.006756756756756757,0.20235792426674964,1284.777618886965,2766.990747208467,34,3,31,428,163,265,1
1,800,138348,0.00125,0,0,0.0970027507090821,0.0,0.002976190476190476,0.22282039092226424,9869.640649806472,2067.530569476531,617,83,534,359,221,138,0
1,45,408,0.022222222222222223,1,0,0.15560595506007704,0.0,0.06451612903225806,0.19033312448851597,24670.82445924388,758.9874096130981,35,4,31,12,12,0,1
1,68,638,0.014705882352941176,1,0,0.2543341439705031,0.0,0.03571428571428571,0.21097538525880535,4616.995811984626,378.92110772564945,60,4,56,11,11,0,1
1,141,3192,0.0070921985815602835,1,0,0.07383035913670255,0.0,0.017857142857142856,0.2474379945189084,4001.3507716830495,367.56067757294335,130,18,112,28,28,0,0
3,1909,123615,0.001571503404924044,3,0,0.37419514538819154,0.0,0.0821917808219178,0.3777167411862874,12795.390806637926,92839.58816888061,75,17,58,1856,1841,15,0
16,99,3000,0.16161616161616163,13,1,4.013365664463205,0.2777777777777778,0.2962962962962963,0.22975599250672948,62626.32849370904,50591.19061941154,60,22,38,112,42,70,1
3,474,6032,0.006329113924050633,3,0,0.2600599959084582,0.0,0.013071895424836602,0.30806036608475384,65910.31745900781,678.7057716051817,498,39,459,13,13,0,1
0,1764,22763,0.0,0,0,0.0,0.0,0.0,0.18688348091416843,20.98136502475519,78.75302747926254,16,11,5,2117,418,1699,0
14,231,7696,0.06060606060606061,13,0,2.3001584887389437,0.0,0.1407035175879397,0.27212088552608965,65450.28919422829,26648.0063954859,230,31,199,37,37,0,1
0,279,278,0.0,0,0,0.0,0.0,0.0,0.1877070593940455,0.013112054304884109,32.25806451612903,314,64,250,1,1,0,0
0,14224,14223,0.0,0,0,0.0,0.0,0.0,0.31875619859178955,207544.7490524393,41.63667959767593,14499,280,14219,1,1,0,1
1,498,7260,0.002008032128514056,0,1,0.20178252345702946,0.004098360655737705,0.004098360655737705,0.15526500192561632,953.6746420602643,3734.861259765396,15,1,14,513,39,474,1
0,4124,877275,0.0,0,0,0.0,0.0,0.0,0.2774859615045617,60275.90422913464,1316.0279231285692,4068,170,3898,302,213,89,0
1,772,49210,0.0012953367875647669,1,0,0.0869538237936714,0.0,0.00398406374501992,0.33244922750123884,7290.611899535257,3162.691916389312,755,253,502,70,70,0,0
17,252,16608,0.06746031746031746,4,0,3.0509128178084137,0.1282051282051282,0.21794871794871795,0.2764714543755712,20726.003787579,23634.695063230207,104,36,68,196,108,88,1
6,119,3724,0.05042016806722689,0,0,0.7570455845440456,0.0,0.21428571428571427,0.15930411643705097,29107.068082564627,1413.1735537148004,78,22,56,49,49,0,1
1,46,46,0.021739130434782608,0,0,0.07383035913670255,0.0,0.05714285714285714,0.12762137988296984,2319.3794616913183,0.2884561173019912,54,19,35,1,1,0,1
0,97,946,0.0,0,0,0.0,0.0,0.0,0.15249036595011276,15789.052221603735,109.78758622100852,91,5,86,11,11,0,1
0,74,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,78,7,71,0,0,0,1
0,147,432,0.0,0,0,0.0,0.0,0.0,0.16634775289262455,109.89718792224122,1.9957689697840577,151,19,132,3,3,0,0
4,839,31356,0.004767580452920143,1,0,0.48473894586226685,0.01486988847583643,0.02973977695167286,0.33661053532336027,2488.0160517672334,8981.053017423932,40,33,7,859,597,262,1
